row,PC_1_value,Tank,Treatment,State,Response,Sex,Fish.ID,PC_2_value
1,-1.620272085,B1F.3.17.22,bond,pair,affiliative,M,B1F.3.17.22.M,-0.053006456
11,4.240706789,D7F.11.19.21,predator,parental,aggressive,M,"D7F.11.19.21,M",-0.519653862
12,1.672159243,E1F.5.5.22,predator,parental,aggressive,M,E1F.5.5.22.M,-1.670862252
13,1.819497778,F1F.4.6.22,predator,parental,aggressive,M,F1F.4.6.22.M,-1.535191834
14,-1.764703873,F2F.1.19.22,retrieve,parental,affiliative,M,F2F.1.19.22.M,0.033086597
15,2.753782933,G1F.3.22.22,rival,pair,aggressive,M,G1F.3.22.22.M,0.603729523
16,1.755627541,G2F.1.19.22,predator,parental,aggressive,M,G2F.1.19.22.M,-0.974922653
17,0.1330782,G5F.8.29.21,rival,pair,aggressive,M,G5F.8.29.21.M,-0.504064739
18,-1.726261683,G6F.1.26.22,retrieve,parental,affiliative,M,G6F.1.26.22.M,0.9368854
19,0.869848227,G6F.11.18.21,rival,pair,aggressive,M,G6F.11.18.21.M,-0.957054208
2,3.085463543,C1F.3.17.22,rival,pair,aggressive,M,C1F.3.17.22.M,-1.801608187
20,1.708180213,H1F.3.22.22,predator,parental,aggressive,M,H1F.3.22.22.M,-0.574480481
21,-0.886215408,H2F.4.27.22,bond,pair,affiliative,M,H2F.4.27.22.M,-0.902924968
22,0.341497289,J2F.2.22.22,bond,pair,affiliative,M,J2F.2.22.22.M,0.279285364
23,-0.994007111,J2F.3.22.22,rival,pair,aggressive,M,J2F.3.22.22.M,-0.574040628
24,-1.75620095,J2F.5.3.22,retrieve,parental,affiliative,M,J2F.5.3.22.M,0.719494767
25,-1.794857264,J2F.6.15.22,retrieve,parental,affiliative,M,J2F.6.15.22.M,-0.043767572
26,2.864395466,J3F.4.27.22,rival,pair,aggressive,M,J3F.4.27.22.M,-1.422950764
27,2.127554998,K1F.4.6.22,predator,parental,aggressive,M,K1F.4.6.22.M,0.827287874
28,-1.609080285,N3F.3.15.22,bond,pair,affiliative,M,N3F.3.15.22.M,-0.698860079
29,-1.645164096,O1F.2.22.22,retrieve,parental,affiliative,M,O1F.2.22.22.M,0.089908225
3,-1.414062498,C2F.3.15.22,bond,pair,affiliative,M,C2F.3.15.22.M,-0.304862257
30,-1.875608246,O1F.4.6.22,retrieve,parental,affiliative,M,O1F.4.6.22.M,0.342017856
31,-1.56482497,O2F.2.22.22,bond,pair,affiliative,M,O2F.2.22.22.M,-0.072132525
32,-2.758342678,P1F.2.1.22,retrieve,parental,affiliative,M,P1F.2.1.22.M,0.855926502
33,-0.933050004,P1F.3.22.22,bond,pair,affiliative,M,P1F.3.22.22.M,-0.845467901
34,-1.759349513,P1F.6.7.22,retrieve,parental,affiliative,M,P1F.6.7.22.M,0.454122412
35,-1.751481075,P2F.4.27.22,bond,pair,affiliative,M,P2F.4.27.22.M,-0.447156743
36,2.836149743,RF3.3.17.22,rival,pair,aggressive,M,RF3.3.17.22.M,-1.816844945
37,-1.51749689,S2F.1.19.22,retrieve,parental,affiliative,M,S2F.1.19.22.M,0.095484209
38,-1.967165325,S2F.2.1.22,retrieve,parental,affiliative,M,S2F.2.1.22.M,1.526066646
39,-1.213598414,S2F.3.17.22,bond,pair,affiliative,M,S2F.3.17.22.M,-0.984505025
4,1.406491677,D11F.1.26.22,rival,pair,aggressive,M,D11F.1.26.22.M,0.207931906
